configuration_id,representative_report_id,citation_key,title,report_lineage_id,reports_in_lineage,task_and_failure_regime,learned_role_in_execution,execution_time_protection,validation_exposure_code,validation_exposure,command_path_summary,final_evaluation_summary,supported_operating_scope
CU_R131,R131,laksana2025navigating,Navigating Vision-based Autonomous Excavator Robot Using Deep Reinforcement Learning,L015_MUAFI_LAKSANA_WEBOTS_EXCAVATOR_NAVIGATION,2,"Navigation, Layout, and Logistics Support",Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Three simulated target placements are evaluated: a barrel to the right, pallet at the center, and rock to the left. Thirty trials are reported per placement, for 90 trials total. Success is 100% at the center and 90% on both sides, approximately 93% overall. Mean turret and base angular errors are 7.96 and 20.5 degrees. No obstacle, collision, terrain, excavation, repeated-route, or physical test is reported.","Supports PPO-based camera-conditioned target seeking in the reported Webots arena and target placements. It does not support physical excavator navigation, obstacle avoidance, excavation, hazardous-environment operation, or recovery."
CU_R136,R136,hu2026sampleefficient,Sample-Efficient Robot Skill Learning for Construction Tasks: Benchmarking Hierarchical Reinforcement Learning and Vision-Language-Action Model,L018_CHANDRAMOULI_PANEL_INSTALLATION_HRL_VLA,2,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Robot skill/action generation,"All policy experiments execute in MuJoCo for panel pickup, transport, and installation; no learned policy is evaluated on hardware.","Supports simulated panel pickup, transport, and installation by the disclosed learned policies. Physical execution, execution-time protection, and construction-workflow recovery remain outside scope."
CU_R138,R138,hybrid_tbm_2026,Hybrid deep reinforcement learning with generative data augmentation for TBM trajectory deviation control,L022_PAN_TBM_DEVIATION_CTGAN_DDPG,1,Earthwork and Material Processing,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Recommended TBM operating-parameter adjustments,TBM trajectory-deviation parameter optimization; Project-data replay/virtual model,Project-data replay/virtual model
CU_R139,R139,adaptive_tbm_2026,Adaptive TBM deviation correction with deep reinforcement learning considering physical constraints,L023_LIN_TBM_DUBINS_DDPG,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Dynamic correction action along a curvature-feasible reference path,TBM deviation correction to the design alignment; Project-data case study in a learned/physics environment,Project-data case study in a learned/physics environment
CU_R141,R141,td3_mpc_crane_2026,TD3-Enhanced MPC for Safe Braking of Overhead Cranes with Safety-Critical Region Prediction,L025_ZHANG_CRANE_TD3_MPC_BRAKING,1,Material Placement and Lifting,Bounded skill or supervisory,Command intervention,L2,L2 — Varied laboratory hardware,MPC parameter/reference optimization,"Physical TD3–MPC braking is reported under varied payload mass, rope length, velocity and obstacle distance. Neural-weight updating during physical evaluation is not clearly reported.",Supports controlled physical braking and swing suppression with state-dependent MPC parameter selection; field workflow integration and post-interruption task resumption are not established.
CU_R142,R142,ren2026surfacefinishing,A perception-to-control computational pipeline for humanoid robot-based construction surface finishing via attention-based normal refinement and residual reinforcement learning,L026_REN_JEBELLI_HUMANOID_FINISHING,1,Additive Manufacturing and Surface Processing,Residual learning within classical control,Command intervention,L0,L0 — Simulation only,Residual correction to the nominal execution command,"Quantitative residual-policy evaluation is reported in ROS/Isaac Sim. A preliminary physical test demonstrates wall approach, alignment and contact initiation; residual-policy activation in this test is unspecified.",Supports simulated residual correction for surface-finishing motion. The preliminary approach test does not establish physical execution of the learned finishing configuration or post-failure recovery.
CU_R144,R144,coherent_excavator_2024,Simulation of Coherent Excavator Operations in Earthmoving Tasks Based on Reinforcement Learning,L028_LIU_COHERENT_EXCAVATOR_SIM,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Commands to a six-degree-of-freedom simulated excavator,"Simulated excavator scraping, digging, throwing, and return sequence; 3D simulation",3D simulation
CU_R148,R148,shield_hierarchical_2024,Autonomous collaborative optimization control of earth pressure balance shield machine based on hierarchical control architecture,L032_LIU_EPB_SHIELD_HIERARCHICAL,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Pressure reference passed to the execution level,EPB shield sealed-cabin-pressure control under geological change; Simulation based on a Beijing Metro project,Simulation based on a Beijing Metro project
CU_R151,R151,SlurryShield2023,Coordinated Tuning of Slurry Shield Control Parameters based on Reinforcement Learning,L034_WU_SLURRY_SHIELD_SAC,1,Earthwork and Material Processing,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Shield control-parameter recommendations/commands,Coordinated slurry-shield face-pressure and tunnelling-speed tuning; Experimental/simulation evaluation; physical execution status requires full-text confirmation,Experimental/simulation evaluation; physical execution status requires full-text confirmation
CU_R154,R154,cai2023integrated,An Integrated Approach Combining Virtual Environments and Reinforcement Learning to Train Construction Robots for Conducting Tasks Under Uncertainties,L020_CAI_UNITY_CONSTRUCTION_ROBOT_PPO,2,Structural Assembly and Installation,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,Robot-arm motion command,Robot-arm window installation under randomized workpiece conditions; Randomized virtual construction testbed,Randomized virtual construction testbed
CU_R159,R159,xiao2023crane_ppo,A reinforcement learning based construction material supply strategy using robotic crane and computer vision for building reconstruction after an earthquake,L002_XIAO_ROBOTIZED_CRANE_PLATFORM,5,Material Placement and Lifting,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,"The PPO actor maps crane, payload, target, distance, swing, and collision-warning state to increments of the telescopic-boom endpoint coordinates in the simulated crane model.",Two PPO policies are evaluated in simulated loading and unloading tasks with and without an intervening obstacle. Each task condition uses 100 randomized target scenarios; no physical execution or independent runtime intervention is reported.,"Supports simulated three-dimensional construction-material transport with the stated COPMA 510_ENG model, payload, obstacle, reward, and target randomization. It does not support hardware transfer, external command filtering, autonomous post-collision recovery, or continued construction workflow."
CU_R160,R160,nan2024adaptive,Learning Adaptive Controller for Hydraulic Machinery Automation,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Prescribed task-space trajectory -> inverse kinematics -> feedforward and PID position feedback generating cylinder-velocity references -> shared PPO-trained cylinder policy with cylinder-specific adapted latent -> pilot-stage valve command.,"HEAP circular and line tracking and 2 m shallow grading at about 5 cm ground penetration, 20 cm/s; grading mean trajectory error 3.62 cm and mean path deviation 3.38 cm. Same trained cylinder controller also evaluated on SAHA forestry machine after separate latent adaptation; SAHA is not a second construction configuration.",Shallow grading and motion tracking under slowly varying load assumptions. HEAP adaptation within 10 minutes; SAHA about 8 minutes with supervised excitation. Excavation and deeper grading are explicitly outside demonstrated capability. No recovery after realized failure or sustained workflow validation.
CU_R094_TRANSPORT,R094,kim2022reinforcement,Reinforcement Learning-Based Transportation and Sway Suppression Methods for Gantry Cranes in Simulated Environment,SINGLETON_R094,1,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,PPO selects discrete gantry and trolley actions in a Unity gantry-crane simulator.,Task 1 evaluates horizontal transport toward a destination with sway-related rewards and a transport endpoint.,Simulated precast-yard transport. Separately trained from Task 2; no physical-policy execution or active execution-time protection established.
CU_R094_POSITIONING,R094,kim2022reinforcement,Reinforcement Learning-Based Transportation and Sway Suppression Methods for Gantry Cranes in Simulated Environment,SINGLETON_R094,1,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,A separately trained PPO policy selects gantry and trolley actions for final positioning and residual-sway suppression.,"Task 2 uses relative position and sway observations, task-specific rewards, and distance/energy endpoint criteria.",Simulated final positioning and sway suppression. Separate learned function and endpoint from Task 1; no physical-policy execution or active execution-time protection established.
CU_R097,R097,wu2023deep,Deep Reinforcement Learning-Based Control for Asynchronous Motor-Actuated Triple Pendulum Crane Systems with Distributed Mass Payloads,SINGLETON_R097,1,Material Placement and Lifting,Bounded skill or supervisory,No reported active execution-time protection,L1,L1 — Isolated laboratory hardware,"PPO plans an acceleration trajectory; downstream tracking combines PID, adaptive dead-zone compensation, and a modified Smith predictor before PLC/motor execution.","A 2-ton crane executes PPO-based trajectories and is compared with manual operation; the reported maximum swing angles are approximately 0.2 and 4.46 degrees, respectively.",Isolated laboratory crane evaluation. Physical comparison of tracking components does not establish L2 exposure for the learned planner. Training bounds and restart rules are not coded as active protection during evaluation.
